 ,Subject,Content,Problem
232753,EPG Official Notifier Report,,Otros
232750,EPG Official Notifier Report,,Otros
232749,EPG Official Notifier Report,,Otros
232743,PDIHUB Alta del usuario sugg,Buenos dias Podeis dar de alta en pdihub al usuario Susana Gonzalez con Login SUGG Gracias y saludos Susana.,add-pdihub-user
232742,PDIHUB Suspension del usuario rsr,Hola Mi cuenta rsr esta Suspendida en Github podeis habilitarla de nuevo Gracias por vuestra ayuda. Un saludo.,unsuspend
232734,docker registry,Hola Actualmente tenemos todas nuestras imagenes de docker en http artifactory.hi.inet artifactory list docker openplat. Queriamos tener un nuevo directorio llamado openplat-release donde promocionar imagenes que iran a entornos productivos. Gracias de antemano. Saludos Ã�lvaro,Otros
232724,PDIHUB Suspension del usuario jjangu,Hola PDIHub me indica que mi cuenta esta suspendida me lo pueden habilitar de nuevo por favor E incluirme de nuevo en https pdihub.hi.inet orgs mca teams mobile-android Un saludo Juanjo. Juan Jose Andres Gutierrez Telefonica I D C Abraham Zacuto Boecillo Valladolid juanjose.andresgutierreztelefonica.com mailto juanjose.andresgutierreztelefonica.com,unsuspend
232712,Acceso a unidad de red.,Hola Buenos dias. Necesito acceso a acceso a la unidad de red oriente.hi.inetprogram management file program management Mi usuario de dominio es HImmperez Muchas gracias. Saludos. Marcos. Marcos Martinez Perez Telefonica Cloud Tel Program Manager Global Cloud Services Distrito Telefonica West building th floor Ronda de la Comunicacion s n Madrid Spain tps cloud.nos-eu-mad- .instantservers.telefonica.com public web.gif tps cloud.nos-eu-mad- .instantservers.telefonica.com public join.gif tps cloud.nos-eu-mad- .instantservers.telefonica.com public link.gif http www.cloud.telefonica.com tps cloud.nos-eu-mad- .instantservers.telefonica.com public twitter.gif https twitter.com TelefonicaCloud tps cloud.nos-eu-mad- .instantservers.telefonica.com public linkedin.gif https www.linkedin.com company Telefonica-Cloud tps cloud.nos-eu-mad- .instantservers.telefonica.com public youtube.gif https www.youtube.com channel UCIeydVIvb CP Kcr rto HA tps cloud.nos-eu-mad- .instantservers.telefonica.com public cloud.gif tps cloud.nos-eu-mad- .instantservers.telefonica.com public telefonica.gif Cloud,Otros
232697,GITHUB Renovacion del usuario de ALBERTO GRANDE GARCIA en el team Innovationmap,Hola Alberto Grande en cc tenia acceso al repo de github de Innovation Map pero nos reporta que no puede acceder. Podeis revisarlo https github.com Telefonica innovationmap Gracias Diego De Alberto Grande Garcia mailto agrandeparadigmadigital.com Enviado el martes de agosto de Para DIEGO URDIALES DELGADO diego.urdialestelefonica.com silcock olivia UK olivia.silcocko .com Asunto Innovationmap - Sin acceso a github Buenas tardes parece que se me ha revocado el acceso al github de telefonica. Podrias indicarme como proceder Un saludo Alberto.,add-github-user
232691,Eliminar repositorio Github,Hola Podeis borrarnos este repositorio de la organizacion que ya no hace falta https github.com Telefonica baikal-notification-system Gracias Javi.,Otros
232683,Usuario de Jira de Rafael Saborido,Buenos dias Necesitamos que el usuario de Jira de Rafael Saborido rafael.saboridoamdocs.com mailto rafael.saboridoamdocs.com tenga los mismos permisos que el usuario de Ana Martinez tambien de Amdocs a MVNE y MVNEA. Muchas gracias Un saludo Miriam Ibañez Please note that my e-mail address has changed. The new one is miriam.ibanezlequericatelefonica.com mailto miriam.ibanezlequericatelefonica.com Miriam Ibañez Lequerica GCTO - Digital Operations Deployment Platforms New Services distrito C Edificio Oeste - planta Â� Ronda de la Comunicacion s n Madrid España Tlfn. Movil mailto miriam.ibanezlequericatelefonica.com,Otros
232662,GITHUB Alta del usuario HlynurMagnusson en el team aura-cognitive-developers,Hola buenas tardes. Necesitamos dar de alta a la siguiente persona en la organizacion de Telefonica en Github Nombre Hlynur Magnusson Email hlynur.magnusson.exttelefonica.com Usuario Github https github.com HlynurMagnusson Licencia th platform Esta persona entrara en el Team de aura-cognitive https github.com orgs Telefonica teams aura-cognitive members Muchas gracias Paulo,add-github-user
232660,GITHUB Alta del usuario HugoFernandezVisier en el team aura-cognitive,Hola buenas tardes. Necesitamos dar de alta a la siguiente persona en la organizacion de Telefonica en Github Nombre Hugo Fernandez Visier Email hugo.fernandez.exttelefonica.com Usuario Github https github.com HugoFernandezVisier Licencia th platform Esta persona entrara en el Team de aura-cognitive https github.com orgs Telefonica teams aura-cognitive members Muchas gracias Paulo,add-github-user
232651,Respuesta automática EPG Official Notifier Report,Buenas Este mensaje es una respuesta automagica de fuera de la oficina. Estare de Vacaciones hasta el de septiembre por lo que para cualquier cosa puedes contactar con Si el problema es de aplicaciones y requiere la gestion de soporte avanzado dsmc.aplicacionestid.es Si el problema es generico y requiere la gestion de soporte avanzado dsmc.advtid.es Si no es ninguna de las anteriores puedes contactar con mi responsable Alfonso Cortes en alfonso.cortestelefonica.com. Pero si aun asi no encuentras la respuesta entonces es o la tiene Google. Â�Saludos,Otros
232649,GitHub Haz pública tu membresía a Telefonica,,Otros
232647,GitHub Haz pública tu membresía a Telefonica,,Otros
232646,GitHub Haz pública tu membresía a Telefonica,,Otros
232645,GitHub Haz pública tu membresía a Telefonica,,Otros
232644,GitHub Haz pública tu membresía a Telefonica,,Otros
232630,Solicitud de recuperacin del Backup de pdihub,,Otros
232628,Solicitud de provision de usuario JIRA,,Otros
232627,PDIHUB Suspension del usuario jls,Hola Necesito activar de nuevo mi usuario jls en pdihub para poder acceder al servicio. Una curiosidad cual es el timeout para proceder a suspender la cuenta Es sobre numero de pushes a cualquier repo Muchas gracias y perdonad las molestias Jordi,unsuspend
232624,GITHUB Alta del usuario jcanonav en el team security portals,Hola dentro del proceso de migracion de los proyectos que llevo en paths necesitamos añadir a otra persona a la organizacion Telefonica. Esta vez es una persona de TID Jose Cano Navarro en copia. Sus datos son - Cuenta Github https github.com jcanonav - Teams TID license creo que lo tenias como Innovation o algo asi security portals La cuenta de Github ya cumple los requisitos solicitados. Un avatar doble factor email publico y Telefonica como empresa. Si fuese necesario algo mas por nuestra parte indicadnoslo y lo resolveremos a la mayor brevedad. Gracias y un saludo Miguel,add-github-user
232606,EPG New bees environment,,Otros
232603,jenkins old failure,Hola Desde hace un poco nos esta dando este fallo en el jenkins antiguo no DCIP. http ci-mca-multi- .hi.inet view MOBILE daily job mobile-paytvapp-daily-build console stderr ERROR Your account is suspended. Please check with your installation administrator. fatal Could not read from remote repository. Se supone que el usuario era contint y tiene permisos en el repositorio. Por favor podrias revisarlo Gracias,integration-dcip-github
232602,PDIHUB Suspension del usuario martagm,Buenas tardes Solicito la reanudacion de la cuenta martagm en pdihub. Ver adjunto el mail con la solicitud del Lider de Iniciativa Pedro Baigorri. Gracias. Un saludo M Marta Garcia Moreno BigData B B Product Portfolio LUCA - Telefonica Data Driven Decisions. Mobile,unsuspend
232596,PDIHUB Suspension del usuario vamc,Ya he vuelto de vacaciones me reactivas la cuenta Gracias de antemano Victor. El ago a las epgtid.es escribio Victor Your user vamc has been marked as dormant Users are considered dormant if theyve existed for longer than a month havent generated any activity within the last month and are not Site Admins. Activity is defined as commenting on issues or pull requests creating issues pull requests repositories making any commits on any repositories or owning any repositories that have been pushed to recently. Check vamc public activity https pdihub.hi.inet vamc tab activity If there is any reason that implies that the user should be maintained regardless of the activity performed please mail EPG Admins mailto epgtid.es,unsuspend
232595,GITHUB Solicitud de migracion de repositorios de TDAF a Telefonica,Hola Solicito la migracion de los siguientes repositorios alojados en la organizacion TDAF de github para que pasen a formar parte de la organizacion legacy en el pdihub. Los repositorios son .- https github.com tdaf gitcontent .- https github.com tdaf development-cms .- De la misma forma el repositorio https github.com telefonica wordpress-sites tambien puede migrarse a la organizacion legacy. Nota Si es posible me gustaria que estos repositorios se siguieran considerando private. Muchas gracias borja cid image .png D FFD. AF Borja Marcos Suarez DEVOPS TEAM CTO â TH PLATFORM FRAMEWORK Distrito C â Edificio Oeste Ronda de la Comunicacion s n Madrid â España Tlf Skype borja.marcos.suarez cid image .png D FFD. AF b mailto borja.marcossuareztelefonica.com orja.marcossuareztelefonica.com mailto borja.marcossuareztelefonica.com,Otros
232589,PDIHUB Suspension del usuario orestes,Estoy de vacaciones y me ha llegado el mensaje de inactividad de github. Vuelvo esta semana. Podeis activar la cuenta -- Eres de los que va rapido o de los que tienen prisa,unsuspend
232587,PDIHUB Suspension del usuario sis,Buenos dias. Desde esta mañana no puedo acceder a pdiHub no se exactamente porque otros servicios como jira me funcionan correctamente. Un saludo Sergio Ibañez Sanahuja Email sibanezfull-on-net.com skype sergio Este correo y sus archivos asociados son privados y confidenciales y va dirigido exclusivamente a su destinatario. Si recibe este correo sin ser el destinatario del mismo le rogamos proceda a su eliminacion y lo ponga en conocimiento del emisor. La difusion por cualquier medio del contenido de este correo podria ser sancionada conforme lo previsto a las leyes españolas. No se autoriza la utilizacion con fines comerciales o para su incorporacion a ficheros automatizados de las direcciones del emisor o del destinatario. Con el fin de contribuir a preservar el medio ambiente por favor no imprima este correo electronico salvo que sea necesario gracias.,unsuspend
232581,PDIHUB Suspension del usuario iamp,Buenas He estado de vacaciones y al volver veo que no puedo acceder al git me pone que tengo la cuenta suspendida. Por favor podriais volver a activarmela. Cuenta iamp Muchas gracias. Un saludo Ivan A. Martin Perez https ipmcdn.avast.com images icons icon-envelope-tick-green-avg-v .png http www.avg.com email-signatureutm medium email utm source link utm campaign sig-email utm content emailclient Libre de virus. www.avg.com http www.avg.com email-signatureutm medium email utm source link utm campaign sig-email utm content emailclient Antes de imprimir piensa en el Medio Ambiente Confidencialidad Este correo electronico y en su caso cualquier documento anexo al mismo puede contener informacion confidencial o de datos de caracter personal dirigida a su destinatario o destinatarios. Queda prohibida su divulgacion copia o distribucion a terceros sin la previa autorizacion escrita del remitente. Si Ud. recibe este correo electronico y cualquier documento anejo al mismo por error no debe divulgarlo copiarlo ni entregarlo a terceros. En el supuesto de que usted no fuera el destinatario le rogamos que lo indique a la direccion electronica del remitente y no comunique su contenido a terceros procediendo a su destruccion. Las opiniones conclusiones y demas informacion incluidas en este correo y en su caso en cualquier documento anejo al mismo que no esten relacionadas con asuntos estrictamente profesionales de AUBAY SPAIN S.A.U se entenderan como no respaldadas por la entidad siendo de la exclusiva responsabilidad del remitente. El remitente no garantiza la integridad rapidez o seguridad del presente correo ni se responsabiliza de posibles perjuicios derivados de su captura incorporaciones de virus o cualesquiera otras manipulaciones efectuadas por terceros.,unsuspend
232578,GITHUB Migrar repositorio varufaker a TelefonicaID,,Otros
232577,DCIP Docker image para dcip-slave-android,Hola Actualmente estamos migrando a DCIP ciertos Jobs para lo que utilizamos la imagen docker de Android TV. https pdihub.hi.inet dcip dcip-slave-android blob master Dockerfile Queria preguntar algunas cosas . He recibido la notificacion de que se ha resuelto el ticket pero no he visto la resolucion se han añadido la configuracion Para el docker stv-android verdad . Por lo que veo en la imagen docker el framework de android se carga dinamicamente cada vez que se carga la imagen . Por nuestro lado tenemos que dar soporte a varias versiones antiguas y nuevas con lo que necesitamos diferentes configuraciones de SDKs de Android y poder ir actualizandolas. Podriamos tener nuestra imagen docker propia Entiendo que eso tiene un coste memoria recursos etc. O es mejor que utilicemos la misma imagen stv-android Si tenemos que utilizar la misma como podemos añadir modificar sdks y configuraciones en el repositorio Gracias JORGE,Otros
232573,PDIHUB Suspension del usuario josemll,Hola He recibido un mail de aviso por inactividad durante un mes de mi cuenta en pdihub. No la he usado pero esto no significa que no lo necesite pues soy el unico desarrollador de un proyecto y hay periodos en los que no hay cambios. Se podria por favor reactivar mi cuenta Gracias y un saludo Jose,unsuspend
232572,Respuesta automática PDIHUB SCM Inactivity Policy,Estoy ausente por vacaciones hasta el de septiembre. Si hay algo urgente por favor ponte en contacto con Daniel Esono daniel.esonoferrertelefonica.com saludos Juan Luis Ramos Thank you for your email. I am on PTO until th September. Please if there is something urgent contact with Daniel Esono daniel.esonoferrertelefonica.com Kind Regards Juan Luis Ramos,Otros
232571,Undeliverable PDIHUB SCM Inactivity Policy,http products.office.com en-us CMSImages Office Logo Orange.pngversion b d a - a b- e a- e -ef fee Your message to dalbuerneairon.es couldnt be delivered. dalbuerne wasnt found at airon.es. epg Office dalbuerne Action Required Recipient Unknown To address How to Fix It The address may be misspelled or may not exist. Try one or more of the following Send the message again following these steps In Outlook open this non-delivery report NDR and choose Send Again from the Report ribbon. In Outlook on the web select this NDR then select the link To send this message again click here. Then delete and retype the entire recipient address. If prompted with an Auto-Complete List suggestion dont select it. After typing the complete address click Send. Contact the recipient by phone for example to check that the address is correct. The recipient may have set up email forwarding to an incorrect address. Ask them to check that any forwarding theyve set up is working correctly. Clear the recipient Auto-Complete List in Outlook or Outlook on the web by following the steps in this article Fix email delivery issues for error code . . in Office http go.microsoft.com fwlink LinkId and then send the message again. Retype the entire recipient address before selecting Send. Was this helpful Send feedback to Microsoft http go.microsoft.com fwlink LinkId . More Info for Email Admins Status code . . Typically this error occurs because the recipient email address is incorrect or doesnt exist at the destination domain. This can usually be fixed by the sender. However sometimes the issue needs to be fixed by the recipient or the recipients email admin. If the steps in the How to Fix It section above dont fix the problem and youre the email admin for the recipient try one or more of the following The email address exists and is correct - Confirm that the recipient address exists is correct and is accepting messages. Synchronize your directories - If you have a hybrid environment and are using directory synchronization make sure the recipients email address is synced correctly in both Office and in your on-premises directory. Errant forwarding rule - Check for forwarding rules that arent behaving as expected. A forwarding rule can be configured by an admin via mail flow rules or mailbox forwarding address settings or by the recipient via the Inbox Rules feature. Mail flow settings and MX records are not correct - Misconfigured mail flow settings or MX records can cause this error. Check your Office mail flow settings to make sure your domain and any mail flow connectors are set up correctly. Also work with your domain registrar to make sure the MX records for your domain are configured correctly. Mail loop detected - This error also indicates that the receiving organizations email settings are misconfigured creating a mail loop when a message is sent to an address that isnt found in their directory. This usually wont disrupt mail flow for recipients that actually exist but the recipients email admin should fix the misconfiguration to reduce the chance of any other mail flow issues. A common cause for this loop is that the recipients domain is configured as Internal Relay when it should be Authoritative. Another common cause for the loop is that both the sender and recipient are part of the same organization but the senders mailbox is hosted by Office while the recipients mailbox is hosted on-premises and an outbound connector from Office to the on-premises email servers is missing or misconfigured. To fix this the recipients email admin should create a correctly configured outbound connector in Office to route the message to the on-premises mailbox. For more information and tips to fix this problem see Fix email delivery issues for error code . . in Office http go.microsoft.com fwlink LinkId . Original Messa,
232550,PDIHUB Suspension del usuario martagm,Buenos dias Necesito que me reactiven el usuario de pdihub martagm Muchas gracias y un saludo M Marta Garcia Moreno BigData B B Product Portfolio LUCA - Telefonica Data Driven Decisions. Mobile,unsuspend
232544,DCIP - Base android Dockerfile,Hola He creado una PR para incluir el API Android O y sus tools en la imagen por defecto de Docker para Android. https pdihub.hi.inet dcip dcip-slave-android pull Podeis echarle un ojo a ver si podemos incluirlo Gracias David. â â skype dcantelar,Otros
232538,GitHub Haz pública tu membresía a Telefonica,,Otros
232537,GitHub Haz pública tu membresía a Telefonica,,Otros
232536,GitHub Haz pública tu membresía a Telefonica,,Otros
232535,GitHub Haz pública tu membresía a Telefonica,,Otros
232534,GitHub Haz pública tu membresía a Telefonica,,Otros
232532,Maquina dev-video-openplat- .hi.inet,Hola No conseguimos acceder a dev-video-openplat- .hi.inet Parece que esta caida podeis volverla a levantar Gracias y un saludo Cristian,restart-VM
232530,Artifactory Acceso al repo IPP para el usuario ama,Hola Necesitaria por favor que se le diera acceso al Repositorio IPP misc-ipp de artifactory al usuario ama Gracias Saludos David. David Gutierrez Fernandez Telefonica I D Technical Product Manager M C Avenida del Conocimiento Edificio I D Armilla. Granada,artifactory-add-user-grupo
232522,Solicitud de provision de usuario JIRA,,Otros
232520,Solicitud de provision de usuario JIRA,,Otros
232518,Solicitud de provision de usuario JIRA,,Otros
232487,Solicitud de provision de usuario JIRA,,Otros
232485,usuario Jira,Buenas tardes El usuario de Jira j.mm deberia tener los mismos permisos y acceso a proyectos que el j.lm podeis verificar que es asi Muchas gracias Un saludo Miriam Ibañez Please note that my e-mail address has changed. The new one is miriam.ibanezlequericatelefonica.com mailto miriam.ibanezlequericatelefonica.com Miriam Ibañez Lequerica GCTO - Digital Operations Deployment Platforms New Services distrito C Edificio Oeste - planta Â� Ronda de la Comunicacion s n Madrid España Tlfn. Movil mailto miriam.ibanezlequericatelefonica.com,Otros
232484,Permisos en Structure,Hola Por favor necesito que le den permisos de Structure al usuario Leonardo Camargo ls.camargo. Gracias Nuria.,Otros
232482,Jira- Añadir usuario a un grupo,Buenas tardes Me gustaria añadir al usuario Pablo Garrido pgarridotcpsi.es dentro del grupo QA-VDC en el proyecto VDC de Jira. Gracias Un saludo firma Cloud,Otros
232472,Permisos de escritura en repositorios de PDI Hub,Buenos dias Necesitaria permisos de escritura en los repositorios M M m m adv backoffice y M M m m adv tools actualmente estos repositorios han sido creados por Francisco Troitiño pero al estar de vacaciones no tengo la posibilidad de poder pedirle a el que me de permisos en los mismos. Mi usuario es agv Gracias de antemano Un saludo. Ã�ngel.,Otros
232470,RE EPG Official Notifier Report,Buenos Dias Dado que es una maquina que practicamente no uso y viendo con Javier y Rodrigo que la maquina se encuentra inestable creo que lo mejor es liberar los recursos que ocupa y proceder a su apagado. Disculpad las molestias. Un saludo Cesar De epgtid.es mailto epgtid.es Enviado el miercoles de agosto de Para CESAR GARCIA GOMEZ cesar.garciagomeztelefonica.com Asunto EPG Official Notifier Report EPG Buenos dias Conforme a la politica de seguridad de Telefonica I D que puedes consultar en la wiki https telefonicacorp.sharepoint.com sites ColaboraTID infosecurity Pages Home.aspx todos los servidores en el entorno de desarrollo de I D tienen que tener una cuenta epg con permisos de administracion. Hemos detectado que tu servidor tus servidores no cumple este requisito ps-cesargg Puedes usar el script de esta pagina https wikis.hi.inet epg index.php EPGAccount para crear y configurar la cuenta epg pero si lo prefieres tambien puedes contactar con nosotros epgtid.es mailto epgtid.es para que la creemos por ti necesitariamos tu participacion para conectarnos como root El proposito de la cuenta es permitir al equipo de EPG hacer comprobaciones de seguridad y de ser necesario actuar sobre un sistema que no este actualizado en un plazo fijado asi como el reaccionar ante una situacion de emergencia que requiera una respuesta rapida. Como responsable de tu maquina conservas todo el control y la obligacion de aplicar las actualizaciones de seguridad dentro de un plazo desde la publicacion de la vulnerabilidad. Podras asi evaluar el impacto y en caso de necesitar reiniciar programar la parada y hacerla de forma controlada. Pasado el plazo si que se podra forzar sin previo aviso una actualizacion y su correspondiente reinicio en horario salvo causas de fuerza mayor de a . En la politica de seguridad tienes informacion mas detallada. Ante cualquier duda o problema no dudes en consultar con nosotros enviando un correo a epgtid.es mailto epgtid.es Un saludo el equipo de EPG,Otros
232464,Respuesta automática EPG Official Notifier Report,Esta es una respuesta automatica. Estoy fuera de la oficina con acceso limitado al correo. Respondere a su mensaje en cuanto sea posible. Saludos ------------------------------------------------------------------------------------ This is an automatic reply. Im out of the office with limited access to my email. I will answer your message as soon as possible. Regards,Otros
232461,cuenta suspendida en pdihub,Hola Me podeis reactivar mi cuenta en pdihub Saludos Ã scar,unsuspend
232458,Acceso usuarios a máquina,Buenos dias Os solicitamos dar acceso a la maquina . . . DEV-GBIC-ESR- a los usuarios HI HI Un saludo y muchas gracias image .png Jose Ramon Sanchez Martos Business Analytics GIS Market Intelligence B B Ronda de la Comunicacion s n Edif. Oeste Â� Madrid España Fijo Movil joseramon.sanchezmartostelefonica.com mailto joseramon.sanchezmartostelefonica.com,Otros
232457,Pdihub Alta rco y dag,Hola Necesito de manera urgente tener al usuario Daniel Alburne con acceso a Pdihub me lo podeis facilitar por favor Saludos Kike -- Enric Escorihuela Navarro Gvp.tools and Gvp.tecnologia Video Delivery Telefonica Global Resources enrictid.es mailto enrictid.es enric.escorihuelanavarrotelefonica.com Skype kikeworking Diagonal PlaÃ�a Ernest Lluch i Marti Barcelona Movil . . Telf . . .,add-pdihub-user
232444,Acceso a GitHub Telefonica,Hola Necesitamos que Pedro en copia tenga acceso a la organizacion GitHub telefonica en concreto dentro del team https github.com orgs Telefonica teams p-apis members. Su usuario de GitHub es pejema. Gracias David,add-github-user
232434,problema al lanzar un job en un docker,Hola Al lanzar un job https dcip.hi.inet view All job p-antifraud job p-antifraud-devops job ci job -build Se me queda en la fase pendingâ Todos los nodos etiquetados como p-devops-tools https dcip.hi.inet label p-devops-tools estan fuera de linea Ese docker ya esta subido a dockerhub.hi.inet dcip p-devops-tools latest Podemos echarle un ojo Gracias Pedro,
232431,Alta usuario en jira,Hola Me podeis ayudar a dar de alta en el jira a Carlos Carazo Cepedano carlos.carazocepedanotelefonica.com. Cuando intento añadir un usuario no me aparece en el desplegable de usarios de jira. Gracias y Saludos Susana,add-jira-user
232427,GITHUB Alta del usuario carlosrosadomoral en el team P,Hola buenas tardes. Necesitamos dar de alta a la siguiente persona en la organizacion de Telefonica en Github Nombre Carlos Rosado Moral Email carlos.rosado.exttelefonica.com Usuario Github https github.com carlosrosadomoral Esta persona entrara en el Team de aura-cognitive https github.com orgs Telefonica teams aura-cognitive members Muchas gracias Paulo,add-github-user
232419,Re Networkgroup permisos máquina scripts infoblox,Hola Ã�lvaro La maquina la administra EPG. Les pongo en copia en este correo para que lo hagan ellos. Un saludo. â firma-iniciativa-network-magb De networkgroup-bouncestid.es mailto networkgroup-bouncestid.es en nombre de Alvaro de la Cruz Fecha jueves de agosto de Para networkgrouptid.es mailto networkgrouptid.es CC dsn-engineeringtid.es mailto dsn-engineeringtid.es dsmc.adv.dsninfratid.es mailto dsmc.adv.dsninfratid.es Asunto Networkgroup permisos maquina scripts infoblox Buenos dias compañeros de redes. Por favor cuando podais dadle permisos a nuestro nuevo compañero de dSN para usar la maquina que tiene los scripts para usar infoblox dev-eng-dns- .hi.inet IP . . . . Su usuario es jrg . Muchas gracias de antemano. Un saludo. Ã�lvaro de la Cruz Paissan â �alvaro delacruzanadat.es mailto alvaro delacruzanadat.es Parque Empresarial Rivas Futura C Marie Curie Edif. Beta - Madrid www.anadat.es http www.anadat.es Disclaimer Email De manera general ANADAT CONSULTING S. L. garantiza la adopcion de las medidas necesarias para asegurar el tratamiento confidencial de los datos de caracter personal y le ofrece la posibilidad de ejercer su derecho de acceso rectificacion cancelacion y oposicion al tratamiento de sus datos personales en los terminos y condiciones previstos en la propia LOPD a traves del correo electronico rrhhanadat.es mailto rrhhanadat.es . La informacion confidencial que pudiera contener este mensaje esta destinada para ser leida unicamente por el destinatario. Nadie excepto el podra leer usar publicar o reproducir el contenido parcial o total de este mensaje. En caso de recibir un mensaje por error por favor notifiquelo al remitente lo antes posible.,unsuspend
232418,Solicitud de máquina virtual windows,Hola Pertenezco al proyecto Onlife Networks y necesitaria una maquina virtual windows para poder trabajar con las aplicaciones de office. Gracias Un saludo Helena Carbajo,crearmaquinavirtual
232411,Cambio de permisos en Team de github,Hola. Tratando de reorganizar los equipos en el repo de aura-cognitive de GitHub https github.com Telefonica aura-cognitive he dado a la opcion equivocada y he eliminado mis propios permisos de administracion con lo cual ya no puedo gestionarlos. Podeis resetearme los permisos Lo que necesitaria es dar permisos de Admin al grupo AURA Cognitive admin https github.com orgs Telefonica teams aura-cognitive-admin . O cualquier otro procedimiento que me permita recuperar la capacidad de administrar el repositorio. Gracias y perdon por las molestias - Paulo,Otros
232408,Re Solicitud licencias GitHub para migracion de proyectos,Hecho De Miguel Garcia Longaron Enviado jueves de agosto de Para GONZALO FERNANDEZ RODRIGUEZ EPG Cc Romano Piccio-Marchetti Prado Miguel Villacorta Pedro Gomez Ochoa Asunto Re Solicitud licencias GitHub para migracion de proyectos Hola de nuevo Comento los usuarios que hemos dado de alta con Borja alguno mas de los que se solicitaban en el correo original y en que equipos se han añadido Â� Antonio Juan Querol o Usuario https github.com anquegi https avatars .githubusercontent.com u v s https github.com anquegi anquegi Antonio Juan Â� GitHub https github.com anquegi github.com anquegi has repositories available. Follow their code on GitHub. o Teams paths license security portals Â� Manuel Bustillo o Usuario https github.com bustikiller o Teams paths license security portals Â� Javier Fernandez o Usuario https github.com jframos o Teams paths license security portals Â� Julio Jose Garcia Perez o Usuario https github.com juliojgarciaperez o Teams paths license security portals Â� Gonzalo Gomez Heredia o Usuario https github.com anquegi https avatars .githubusercontent.com u v s https github.com anquegi anquegi Antonio Juan Â� GitHub https github.com anquegi github.com anquegi has repositories available. Follow their code on GitHub. o Teams paths license security portals Â� Miguel Villacorta o Usuario https github.com https github.com anquegi spairbierzo o Teams paths license paths como maintainer Â� Romano Piccio- Marchetti o Usuario https github.com rpiccio o Teams paths license paths como maintainer security portals como maintainer Romano cuando aceptes la invitacion ve a https github.com orgs Telefonica people busca tu perfil y ponlo como Public Saludos Miguel De GONZALO FERNANDEZ RODRIGUEZ gonzalo.fernandezrodrigueztelefonica.com Fecha viernes de agosto de Para epgtid.es epgtid.es CC Romano Piccio-Marchetti Prado romano.picciomarchetti paths.com Miguel Garcia Longaron miguel.garcialongaron paths.com Miguel Villacorta miguel.villacorta paths.com Pedro Gomez Ochoa pedro.gomez paths.com Asunto Solicitud licencias GitHub para migracion de proyectos Hola Hace poco os envie un correo solicitando la asignacion de licencias a personas de Mobile Connect para la migracion a GitHub. El otro dia os pase una solped a mi nombre con licencias creo que las identificamos como CTO- Paths o algo asi. En este caso vamos a migrar otros proyectos de ciberseguridad y me gustaria que por favor asignaseis licencias a las siguientes personas son todas de Telefonica Digital excepto Miguel Garcia Longaron que es de Telefonica I D y por tanto no consumiria licencia de la bolsa que hemos comprado. Miguel Garcia Longaron miguel.garcialongarontelefonica.com mailto miguel.garcialongarontelefonica.com -- Telefonica I D Manuel Bustillo manuel.bustilloalonsotelefonica.com mailto manuel.bustilloalonsotelefonica.com Javier Fernandez javier.fernandezramostelefonica.com mailto javier.fernandezramostelefonica.com Julio Jose Garcia Perez julio.garciapereztelefonica.com mailto julio.garciapereztelefonica.com Romano Piccio-Marchetti Prado rpicciogmail.com mailto rpicciogmail.com Miguel Villacorta miguel.villacortatelefonica.com. Seria ideal si tuvierais un rato tambien para comentar con Romano Miguel Garcia Miguel Villacorta y Pedro este ya tiene licencia las convenciones que teneis para crear teams etc.. Un saludo Gonza. Este mensaje y sus adjuntos se dirigen exclusivamente a su destinatario puede contener informacion privilegiada o confidencial y es para uso exclusivo de la persona o entidad de destino. Si no es usted.,
